Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-06-11,959.22,971.87,933.97,966.61,1195168768
2018-06-12,964.74,967.83,949.51,953.07,905888064
2018-06-13,948.26,956.09,933.37,935.05,857526656
2018-06-14,932.96,954.06,927.51,945.41,478598848
2018-06-18,942.36,942.36,927.21,930.43,699638144
2018-06-19,925.98,947.43,922.89,944.37,954057984
2018-06-20,942.96,952.47,937.19,945.52,909909440
2018-06-21,945.9,953.98,943.24,950.57,822433920
2018-06-22,955.17,961.87,944.51,958.52,737523008
2018-06-25,992.56,993.94,933.65,940.08,1362699008
2018-06-26,940.78,951.01,938.08,944.08,1078723072
2018-06-27,944.33,961.87,942.93,959.55,1388852864
2018-06-28,958.07,969.93,954.87,962.27,1214343424
2018-06-29,968.27,975,962.3,965.2,1007911936
2018-07-02,960.94,972.67,956.55,967.73,978213760
2018-07-03,970.28,974.46,964.5,965.88,942949888
2018-07-04,967.96,974.55,963.92,972.3,817844416
2018-07-05,975.6,992.65,975.6,990.97,1314196096
2018-07-06,993.01,998.06,981.1,987.34,1160348672
2018-07-09,997.57,1008.06,987.35,992.53,1382586496
2018-07-10,976.51,984.66,958.51,962.75,1585424896
2018-07-11,952.82,952.82,912.16,912.89,1785139968
2018-07-12,917.29,924.66,881.69,895.71,1913977856
2018-07-13,899.99,910.21,893.17,898.98,1003143936
2018-07-16,906.83,910.44,891.66,897.44,1108898816
2018-07-17,898.18,916.38,897.68,916.3,1344197504
2018-07-18,917.22,924.56,904.21,923.22,1540878080
2018-07-19,927.52,932.96,921.93,930.03,1161256960
2018-07-20,932.69,941.69,927.87,940.82,1039650304
2018-07-23,941.73,960.36,941.73,953.05,1123948160
2018-07-24,955.24,955.68,917.23,921.34,1479568000
2018-07-25,923.82,957.64,921.65,953.69,1622139008
2018-07-26,957.76,966.81,935.37,948.17,1679767808
2018-07-27,949.03,959.77,944.45,955.85,1200997632
2018-07-30,953.4,962.69,949.21,961.58,1062244160
2018-07-31,959.42,972.32,957.94,969.52,1241819648
2018-08-01,971.22,974.1,962.45,972.11,1099607680
2018-08-02,955.18,955.18,941.53,945.43,1138984064
2018-08-03,944.83,960.64,944.83,956.1,1247259776
2018-08-06,952.9,955.01,935.68,941.74,1155983104
2018-08-07,945.85,964.21,943.69,961.61,1427987200
2018-08-08,963.27,972.6,959.7,969.74,1301067648
2018-08-09,956.62,987.44,954.09,971.85,2047864064
2018-08-10,956.03,978.1,885.98,949.4,1941569024
