Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-12-28,29.2737,29.6412,29.2553,29.6412,53484.69910141
2023-12-29,29.825,29.825,29.3288,29.4024,125601.92060919
2024-01-02,29.4024,29.678,29.3656,29.3656,131988.34826576
2024-01-03,29.4024,29.678,29.3656,29.4575,129607.04224794
2024-01-04,29.5861,29.5861,29.4024,29.4024,105166.00511711
2024-01-05,29.5861,29.8801,29.4942,29.4942,190341.22918515
2024-01-08,29.5861,30.0088,29.4942,29.4942,63867.541610566
2024-01-09,29.7331,30.0088,29.6412,29.6964,345736.68372391
2024-01-10,29.6964,29.9536,29.5861,29.8985,433735.08320796
2024-01-11,29.8985,29.9536,29.6596,29.6596,1950.3201023488
2024-01-12,30.2109,30.2109,29.678,29.8066,180367.60562604
2024-01-15,29.7148,30.0272,29.4024,29.8618,86976.440457202
2024-01-16,29.8618,29.9536,29.7699,29.7883,70220.230470728
2024-01-17,29.9169,29.9169,29.4207,29.7699,2602.2407169174
2024-01-18,29.7699,29.7699,29.4207,29.7699,124849.87195365
2024-01-19,29.9169,29.9169,29.5126,29.678,96075.032006106
2024-01-22,29.678,29.8985,29.4942,29.678,178371.57489629
2024-01-23,29.678,29.7515,29.4024,29.5861,120438.79640967
2024-01-24,29.4024,29.7331,29.4024,29.678,93812.355949866
2024-01-25,29.8066,29.8434,29.5126,29.6412,187903.32905721
2024-01-26,29.5861,29.7331,29.5677,29.5861,98682.714464381
2024-01-29,29.5677,29.7883,28.9246,29.384,261973.04736388
2024-01-30,29.0348,30.5968,29.0348,30.5968,13815.492957152
2024-01-31,29.9169,30.2844,29.8066,29.8801,2026.5044813468
2024-02-01,30.3947,30.3947,29.7699,30.1374,6322.2151085626
2024-02-02,30.3212,30.3212,30.0455,30.3028,5864.0204863032
2024-02-05,30.3028,30.3028,29.8434,29.8618,9234.635082829
2024-02-06,30.1007,30.1007,29.8618,29.8801,1171.0627400264
2024-02-07,30.0823,30.2293,29.6964,29.6964,4454.6094748402
2024-02-08,30.0088,30.0088,29.4942,29.5126,8604.4814336884
2024-02-09,29.5494,29.7699,29.4024,29.6596,4490.5249677964
2024-02-12,29.7148,29.9536,29.4024,29.8434,2006.9142124616
2024-02-13,29.825,30.0272,29.6045,30.0088,1510.6274007032
2024-02-14,29.6045,30.0088,29.4575,29.825,892.445582548
2024-02-15,30.0272,30.4682,29.7331,30.1925,7139.564660384
2024-02-16,30.1925,30.8357,30.1374,30.2109,15751.664531972
2024-02-19,30.6887,30.6887,30.2293,30.2477,2404.1613315226
2024-02-20,30.2477,30.652,30.0455,30.0823,3837.5160049564
2024-02-21,30.0823,30.4682,29.9536,30.3763,3728.6811778164
2024-02-22,30.3763,30.3763,29.9904,30.0088,1226.5685018678
2024-02-23,30.0272,30.266,29.8066,30.0272,3323.8156208556
2024-02-26,30.0272,30.0272,29.7515,29.7515,1017.605633759
2024-02-27,29.7699,30.1742,29.4942,29.5494,7682.6504478126
2024-02-28,29.5861,29.5861,29.3472,29.3656,4032.330345537
2024-02-29,29.3656,29.678,29.2553,29.2553,1837.1318821232
2024-03-01,29.6596,29.6596,29.237,29.4024,1187.3879640974
2024-03-04,29.4024,29.6596,28.9429,28.9429,2988.6043532644
2024-03-05,28.9613,29.678,28.9429,29.0716,3312.9321381416
2024-03-06,29.4942,29.4942,29.1083,29.2186,956.6581305606
2024-03-07,29.3105,29.4391,29.1818,29.4024,2080.9218949168
2024-03-08,29.3105,29.6412,29.2002,29.2921,6551.856593828
2024-03-11,29.2921,29.531,29.0164,29.0532,2413.9564659652
2024-03-12,29.1267,29.384,28.8511,29.0532,1233.0985914962
2024-03-13,29.0716,29.3656,29.0348,29.0348,2760.0512162704
2024-03-14,29.3288,29.4024,29.1635,29.2186,4166.1971829192
2024-03-15,29.237,29.5861,29.237,29.2737,1017.605633759
2024-03-18,29.2737,29.678,29.237,29.678,2831.8822021828
2024-03-19,29.678,29.8618,29.4942,29.6964,1273.367477538
2024-03-20,29.7883,29.9169,29.7148,29.7515,1899.167733593
2024-03-21,29.8618,30.1374,29.4942,29.5677,2869.9743916818
2024-03-22,29.7699,29.8618,29.3105,29.3105,55552.56081707
2024-03-25,29.3105,29.825,29.0716,29.0716,3162.7400766884
2024-03-26,29.0348,29.4024,29.0348,29.2737,1279.8975671664
2024-03-27,29.4024,29.6045,29.2737,29.4024,413.572343132
2024-03-28,29.4024,29.825,29.4024,29.7699,3967.029449253
2024-04-02,29.7699,29.9904,29.3288,29.5126,107717.09346527
2024-04-03,29.531,30.5049,29.531,30.5049,147462.48398853
2024-04-04,30.5049,30.5049,29.8801,30.4498,82202.944938842
2024-04-05,30.4498,30.6887,30.0455,30.3396,268755.63379124
2024-04-08,30.7255,30.9827,30.3579,30.3579,4053.0089626936
2024-04-09,30.5049,31.0746,30.5049,30.6703,2171.254801443
2024-04-10,30.652,30.7806,30.2293,30.4131,5056.4660689244
2024-04-11,30.4131,30.799,30.3212,30.5233,36856.914210961
2024-04-12,30.7438,30.7438,29.6045,30.3579,4112.8681176206
2024-04-15,30.5968,30.7438,30.4498,30.6887,3255.2496797574
2024-04-16,30.6887,30.7071,30.3212,30.5417,2171.254801443
2024-04-17,30.3947,30.8541,30.3947,30.7806,6916.453264747
2024-04-18,30.7622,30.7622,30.4131,30.6887,1351.7285530788
2024-04-19,30.5968,30.6887,29.9169,29.9169,4669.014084306
2024-04-22,29.9169,30.3212,29.9169,29.9904,4294.6222789444
2024-04-23,30.3028,30.3028,29.5861,29.6229,2741.5492956566
2024-04-24,30.1374,30.6152,29.7883,30.6152,2854.7375158822
2024-04-25,30.3212,30.4866,30.2109,30.4131,1331.0499359222
2024-04-26,30.266,30.5784,30.1374,30.3947,3433.738796267
2024-04-29,30.3947,30.5968,30.2844,30.5601,1085.0832265858
2024-04-30,30.5968,31.0195,30.2844,30.799,16109.731113263
2024-05-02,30.8725,31.0011,30.5417,30.652,12147.055057095
2024-05-06,30.9644,31.0379,30.652,30.652,1158.0025607696
2024-05-07,30.7806,30.7806,30.3579,30.7806,5620.2304735096
2024-05-08,30.6887,31.0379,30.5968,31.0379,4529.7055055668
2024-05-09,31.0379,31.2216,30.7806,30.8725,23991.549294742
2024-05-10,30.9644,31.3319,30.7071,31.2032,28132.714467419
2024-05-13,31.3319,31.681,31.3319,31.4605,6185.0832263662
2024-05-14,31.681,31.681,31.1481,31.2768,16898.783610028
2024-05-15,31.4605,31.6443,31.1481,31.1481,15543.790012135
