Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2014-07-23,869.25,875.25,868.75,868.75
2014-07-24,869,872.25,864.75,868.75
2014-07-25,868,877.25,868,877.25
2014-07-28,876,886.75,874.75,878.75
2014-07-29,878.75,883.25,875.25,877.25
2014-07-30,879.25,880.25,874.75,877.75
2014-07-31,878.5,880.25,867.25,868.75
2014-08-01,870.25,872.75,859.25,863.25
2014-08-04,861.25,867.75,851.25,853.75
2014-08-05,854,857,836.25,843.75
2014-08-06,844.5,847.75,837.75,847.75
2014-08-07,847.25,857.75,845.25,853.25
2014-08-08,853,860.75,851.75,858.75
2014-08-11,856.5,873.25,854.25,873.25
2014-08-12,873.25,881.25,870.25,875.25
2014-08-13,875.5,879.75,873.25,878.75
2014-08-14,878.75,883.75,874.75,879.75
2014-08-15,883.25,892.75,872.25,891.25
2014-08-18,892.5,899.75,889.75,890.25
2014-08-19,890.75,894.75,875.25,879.25
2014-08-20,879.25,880.25,863.75,864.75
2014-08-21,865.25,877.75,862.75,876.25
2014-08-22,878.75,886.75,877.75,885.75
2014-08-25,885.5,888.25,878.25,887.75
2014-08-26,887.75,888.25,881.75,883.75
2014-08-27,883.75,891.25,882.25,889.75
2014-08-28,890.75,897.75,889.75,893.25
2014-08-29,892.75,906.25,891.75,902.75
2014-09-01,904.75,909.25,902.25,904.75
2014-09-02,905.25,905.75,878.75,880.25
2014-09-03,880.25,884.75,867.25,873
2014-09-04,873,888.25,872.5,887.25
2014-09-05,886.25,888.75,881.25,887.75
2014-09-08,889.25,893.75,879.25,882.25
2014-09-09,883.75,884.25,855.25,858.75
2014-09-10,859.25,861.75,843.75,850.25
2014-09-11,851.25,851.25,828.75,831.25
2014-09-12,830.5,834.5,818.5,834
2014-09-15,834.25,846.25,830.75,831.75
2014-09-16,831.75,843.75,829.75,840.25
2014-09-17,839.75,843.25,830.25,832.25
2014-09-18,829.75,830.75,817.75,827.25
2014-09-19,829.25,830.25,805.75,809.75
2014-09-22,811.75,813.75,798.25,798.75
2014-09-23,800.5,815.75,800,812.75
2014-09-24,813.25,822.75,812.75,814.25
2014-09-25,812.75,813.75,793.25,799.75
2014-09-26,801.75,806.75,775.25,776.75
2014-09-29,781.25,789.75,776.25,788.25
2014-09-30,785.75,789.75,764.75,770.75
2014-10-01,769.25,781.75,761.25,776.75
2014-10-02,779.25,784.25,765.25,766.25
2014-10-03,770.25,770.25,749.25,753.75
2014-10-06,750.25,765.75,733.25,763.25
2014-10-07,765.75,786.75,765.25,783.25
2014-10-08,784.25,800.75,781.75,800.75
2014-10-09,798.25,808.25,792.75,793.25
2014-10-10,791.75,793.25,778.25,782.25
